hotel	%c1	%c2	%c3	%c4	%c5	%c6	%c7	users
1	0.10870	0.76087	0.04348	0.02174	0.04348	0.00000	0.02174	92
2	0.18807	0.69725	0.04358	0.02523	0.02523	0.00229	0.01835	436
3	0.19143	0.69429	0.02857	0.02000	0.05714	0.00571	0.00286	350
4	0.22393	0.63190	0.07055	0.03681	0.01840	0.00920	0.00920	326
5	0.17460	0.73810	0.03968	0.02381	0.00794	0.00794	0.00794	126
6	0.11910	0.76386	0.03491	0.03491	0.03901	0.00411	0.00411	487
7	0.18182	0.74675	0.04221	0.01948	0.00325	0.00325	0.00325	308
8	0.21519	0.62658	0.02532	0.04430	0.05696	0.01266	0.01899	158
9	0.08108	0.77027	0.05405	0.02703	0.05405	0.01351	0.00000	74
10	0.16327	0.72109	0.04422	0.03401	0.03061	0.00000	0.00680	294
11	0.17371	0.72770	0.03286	0.02817	0.02817	0.00469	0.00469	213
12	0.15510	0.71020	0.04082	0.04082	0.03673	0.00816	0.00816	245
13	0.14286	0.77193	0.03759	0.01754	0.02256	0.00000	0.00752	399
14	0.18819	0.68635	0.02952	0.03690	0.04059	0.00369	0.01476	271
15	0.13514	0.71471	0.06907	0.03604	0.02703	0.00601	0.01201	333
16	0.13514	0.72432	0.05405	0.02703	0.03784	0.01081	0.01081	185
17	0.16422	0.73565	0.04139	0.02937	0.02003	0.00401	0.00534	749
18	0.09917	0.77410	0.04132	0.05510	0.01377	0.00826	0.00826	363
19	0.10484	0.82258	0.01613	0.04032	0.00000	0.00806	0.00806	124
20	0.19231	0.70000	0.03077	0.04615	0.02308	0.00000	0.00769	130
21	0.17105	0.68421	0.02632	0.02632	0.06579	0.00000	0.02632	76
22	0.15584	0.75325	0.05195	0.02597	0.01299	0.00000	0.00000	77
23	0.20667	0.66000	0.03333	0.02000	0.06000	0.01333	0.00667	150
24	0.20833	0.67083	0.03333	0.03750	0.03333	0.00833	0.00833	240
25	0.09722	0.63889	0.08333	0.08333	0.06944	0.00000	0.02778	72
26	0.17866	0.73449	0.02978	0.02978	0.01489	0.00248	0.00993	403
27	0.15044	0.75221	0.02655	0.04425	0.02655	0.00000	0.00000	113
28	0.16532	0.75403	0.02016	0.02823	0.02016	0.00000	0.01210	248
29	0.11966	0.78632	0.01709	0.00000	0.03419	0.00855	0.03419	117
30	0.16822	0.73832	0.03738	0.02804	0.01869	0.00935	0.00000	107
31	0.12658	0.75949	0.05063	0.00000	0.02532	0.00000	0.03797	79
32	0.08264	0.83471	0.06612	0.01653	0.00000	0.00000	0.00000	121
33	0.09028	0.83333	0.04167	0.02778	0.00000	0.00000	0.00694	144
34	0.11486	0.77703	0.04730	0.04730	0.01351	0.00000	0.00000	148
35	0.20652	0.66848	0.03804	0.02717	0.03261	0.00543	0.02174	184
36	0.16867	0.66265	0.07229	0.02410	0.03614	0.00000	0.03614	83
37	0.17598	0.72905	0.04330	0.02374	0.01676	0.00559	0.00559	716
38	0.14786	0.73541	0.05058	0.03891	0.02335	0.00389	0.00000	257
39	0.16364	0.73566	0.02657	0.04056	0.01818	0.00420	0.01119	715
40	0.14019	0.75701	0.03738	0.02804	0.03738	0.00000	0.00000	107
41	0.11594	0.72174	0.09275	0.03188	0.03188	0.00290	0.00290	345
42	0.16912	0.67647	0.06618	0.02206	0.05882	0.00000	0.00735	136
43	0.18623	0.70445	0.04858	0.02429	0.02024	0.00000	0.01619	247
44	0.12903	0.82258	0.03226	0.00000	0.00000	0.01613	0.00000	62
45	0.14286	0.75380	0.03040	0.04255	0.02128	0.00304	0.00608	329
46	0.19178	0.71781	0.04384	0.02192	0.01644	0.00548	0.00274	365
47	0.14113	0.70565	0.04839	0.04032	0.04032	0.00806	0.01613	248
48	0.12409	0.83942	0.01460	0.00730	0.00730	0.00730	0.00000	137
49	0.10884	0.78231	0.04422	0.02721	0.03061	0.00340	0.00340	294
50	0.09848	0.78030	0.05303	0.02273	0.03030	0.00758	0.00758	132
51	0.16867	0.74699	0.03614	0.01807	0.02410	0.00000	0.00602	166
52	0.19574	0.69787	0.04255	0.05106	0.00426	0.00426	0.00426	235
53	0.14182	0.73818	0.03636	0.02182	0.02909	0.01455	0.01818	275
54	0.05797	0.78261	0.11594	0.01449	0.01449	0.01449	0.00000	69
55	0.11672	0.76972	0.03470	0.03785	0.03785	0.00000	0.00315	317
56	0.13340	0.77483	0.04447	0.02460	0.01608	0.00095	0.00568	1057
57	0.11290	0.78226	0.04839	0.03629	0.01613	0.00403	0.00000	248
58	0.08029	0.83212	0.01460	0.02920	0.02920	0.00730	0.00730	137
59	0.11211	0.80269	0.03139	0.02018	0.02018	0.00448	0.00897	446
60	0.19201	0.71263	0.03351	0.03093	0.02191	0.00387	0.00515	776
61	0.19196	0.64732	0.07143	0.05804	0.01786	0.00446	0.00893	224
62	0.21491	0.68860	0.03509	0.03070	0.01316	0.00439	0.01316	228
63	0.12957	0.76412	0.06312	0.01329	0.02658	0.00332	0.00000	301
64	0.15084	0.73743	0.03911	0.02235	0.01676	0.01676	0.01676	179
65	0.19008	0.71901	0.02479	0.03306	0.03306	0.00000	0.00000	121
66	0.19643	0.70833	0.02679	0.04464	0.02083	0.00000	0.00298	336
