hotel	female	male	users
1	0.456522	0.543478	92
2	0.449541	0.550459	436
3	0.465714	0.534286	350
4	0.530675	0.469325	326
5	0.452381	0.547619	126
6	0.453799	0.546201	487
7	0.425325	0.574675	308
8	0.449367	0.550633	158
9	0.418919	0.581081	74
10	0.428571	0.571429	294
11	0.436620	0.563380	213
12	0.444898	0.555102	245
13	0.456140	0.543860	399
14	0.453875	0.546125	271
15	0.498498	0.501502	333
16	0.443243	0.556757	185
17	0.460614	0.539386	749
18	0.487603	0.512397	363
19	0.491935	0.508065	124
20	0.530769	0.469231	130
21	0.447368	0.552632	76
22	0.532468	0.467532	77
23	0.420000	0.580000	150
24	0.483333	0.516667	240
25	0.444444	0.555556	72
26	0.451613	0.548387	403
27	0.451327	0.548673	113
28	0.455645	0.544355	248
29	0.555556	0.444444	117
30	0.485981	0.514019	107
31	0.430380	0.569620	79
32	0.479339	0.520661	121
33	0.423611	0.576389	144
34	0.452703	0.547297	148
35	0.423913	0.576087	184
36	0.457831	0.542169	83
37	0.472067	0.527933	716
38	0.509728	0.490272	257
39	0.441958	0.558042	715
40	0.485981	0.514019	107
41	0.504348	0.495652	345
42	0.426471	0.573529	136
43	0.437247	0.562753	247
44	0.483871	0.516129	62
45	0.458967	0.541033	329
46	0.542466	0.457534	365
47	0.423387	0.576613	248
48	0.408759	0.591241	137
49	0.452381	0.547619	294
50	0.469697	0.530303	132
51	0.433735	0.566265	166
52	0.391489	0.608511	235
53	0.472727	0.527273	275
54	0.521739	0.478261	69
55	0.485804	0.514196	317
56	0.451277	0.548723	1057
57	0.455645	0.544355	248
58	0.430657	0.569343	137
59	0.450673	0.549327	446
60	0.465206	0.534794	776
61	0.446429	0.553571	224
62	0.442982	0.557018	228
63	0.465116	0.534884	301
64	0.474860	0.525140	179
65	0.438017	0.561983	121
66	0.505952	0.494048	336
